ico_name,member_order,member_name,position,description,linktype,link,member_type
moolyacoin,21,Daniil Morozov,Senior Advisor,Participates in a number of projects,linkedin,https://www.linkedin.com/in/dmoroz0v/,normal
moolyacoin,22,"Savio Gomez, Capt",Senior Advisor,Participates in a number of projects,linkedin,https://www.linkedin.com/in/savio-gomez-capt/,normal
moolyacoin,23,Mauro Andriotto,Senior Advisor,Participates in a number of projects,linkedin,https://www.linkedin.com/in/mauro-andriotto-a2339a12b/,normal
moolyacoin,24,Rene Lauk,Legal Advisor and Standing Counsel,Participates in a number of projects,linkedin,https://www.linkedin.com/in/rene-lauk-b981b177/,advsisor
Chelle Coin,1,Ronice Harrison,President & CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/roniceharrison/,normal
Chelle Coin,2,Trivelle Simpson,Investment Executive,Takes part in this project only,linkedin,https://www.linkedin.com/in/trivelle-simpson-0b9a99ab/,normal
Chelle Coin,3,Konrad Kubicka-Fitzpatrick,Currency Trader,Takes part in this project only,linkedin,https://www.linkedin.com/in/konradfitz/,normal
Chelle Coin,4,James Brock,Web Developer & Designer,Takes part in this project only,linkedin,https://www.linkedin.com/in/jamesmarshallbrock/,normal
Chelle Coin,5,Nishal Sukdoe,Marketing Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/nishal-s-8021b443/,normal
Chelle Coin,6,Priya Trikha,Marketing Associate,Takes part in this project only,linkedin,https://www.linkedin.com/in/priya-trikha-603a35a5/,normal
Chelle Coin,7,Kyle Fraser,Content Specialist,Takes part in this project only,linkedin,https://www.linkedin.com/in/kyle-fraser-4b364966/,normal
Chelle Coin,8,Nicholas Schaus,Content Specialist,Takes part in this project only,linkedin,https://www.linkedin.com/in/nicholas-schaus-950461116/,normal
Chelle Coin,9,Nichocie Bryan,Office Administrator,Takes part in this project only,linkedin,https://www.linkedin.com/in/nichocie-bryan-a87529119/,normal
iLink2Music,1,Sarkis A. Tsaoussian,"Founder, Chief Executive Officer",Takes part in this project only,linkedin,https://www.linkedin.com/in/sarkis-a-tsaoussian-4a33b2168/,normal
iLink2Music,2,Hagop Ghazarian,Chief Operating Officer,Takes part in this project only,linkedin,https://www.linkedin.com/in/hagopghazarian/,normal
iLink2Music,3,Leveious Rolando,Chief Convergence Officer,Takes part in this project only,linkedin,https://www.linkedin.com/in/lev-rolando-095438146/,normal
iLink2Music,4,Ricky St. Hilaire,Vice President of Content Creation & Celebrity Contesting,Takes part in this project only,linkedin,https://www.linkedin.com/in/rick-st-hilaire-3293336/,normal
iLink2Music,5,James A. Ruggiero,Vice President of Fashion & Film Contesting / Senior Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/james-a-ruggiero-5b263a1a/,normal
iLink2Music,6,Bob Brockman,Chief Creative Officer,Takes part in this project only,linkedin,https://www.linkedin.com/in/bassybob/,normal
iLink2Music,7,Youssef Atrassi,Marketing Team Director,Participates in several projects,linkedin,https://www.linkedin.com/in/youssef-atrassi/,normal
iLink2Music,8,Aret Sevan,Senior Manager of I.T.,Takes part in this project only,linkedin,https://www.linkedin.com/in/aret-sevan-1ba30a15/,normal
iLink2Music,9,Sergio Gentile,Vice President of Corporate & Strategic Affairs,Takes part in this project only,linkedin,https://www.linkedin.com/in/sergio-gentile-8671a5b/,normal
iLink2Music,10,Samy Kalem,Head of Blockchain Technology & Security,Takes part in this project only,linkedin,https://www.linkedin.com/in/samykalem/,normal
iLink2Music,11,Arlene Decena,Bounty Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/arlene-decena-465854126/,normal
iLink2Music,12,Daniel Romano,Community Manager,Participates in several projects,linkedin,https://www.linkedin.com/in/daniel-romano-912597158/,normal
iLink2Music,13,Joel Robinett,Head of I.T. Infrastructure,Takes part in this project only,linkedin,https://www.linkedin.com/in/joel-robinett-70b51420/,normal
iLink2Music,14,Sylvain Belanger,Head of Research & Development,Takes part in this project only,linkedin,https://www.linkedin.com/in/sylvain-b%C3%A9langer-61b22b35/,normal
iLink2Music,15,Peter Bahlawanian,Director of Contests and Productions,Takes part in this project only,linkedin,https://www.linkedin.com/in/peterbahlawanian/,normal
iLink2Music,16,Hung Chih (Jason Hung),Advisor,Participates in a number of projects,linkedin,https://www.linkedin.com/in/jasonhung-earth/,advsisor
iLink2Music,17,Naviin Kapoor,Advisor,Participates in a number of projects,linkedin,https://www.linkedin.com/in/naviinkapoor/,advsisor
GaxCoin,1,Gaspare Matino,CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/gaspare-matino-564b76169/,normal
GaxCoin,2,Mario Stagliano,Server Management,Takes part in this project only,linkedin,https://www.linkedin.com/in/mario-stagliano,normal
GaxCoin,3,Vincenzo Ajello,Developer,Takes part in this project only,linkedin,https://linkedin.com/in/vincenzo-ajello-6881a830,normal
GaxCoin,4,Gabriele Senatore,Marketing,Takes part in this project only,linkedin,https://www.linkedin.com/in/gabrielesenatore/,normal
GaxCoin,5,Oleg Abrosimov,Smart Contract Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/olegabrosimovnsk/,normal
GaxCoin,6,Angelo De Lauso,SEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/angelodelauso/,normal
GaxCoin,7,Luca Adinolfi,Graphic Design,Takes part in this project only,linkedin,https://www.linkedin.com/in/luca-adinolfi-4b9122162/,normal
GaxCoin,8,Claudio Capone,Graphic Design,Takes part in this project only,linkedin,https://www.linkedin.com/in/claudio-capone-b7697a169,normal
GaxCoin,9,Concetta Cipicchia,Translations,Takes part in this project only,linkedin,https://www.linkedin.com/in/concetta-cipicchia-ab002740/,normal
GaxCoin,10,Vittoria Memoli,Translations,Takes part in this project only,linkedin,https://www.linkedin.com/in/vittoria-memoli-58249566,normal
GaxCoin,11,Emmanuele Giordano,Translations,Takes part in this project only,linkedin,https://www.linkedin.com/in/emmanuele-giordano-63b7a453,normal
GaxCoin,12,Simona Lamberti,Videomaker,Takes part in this project only,linkedin,https://www.linkedin.com/in/simona-lamberti-569aa4169,normal
NAi,1,"Dr. Atif Farid, PhD",Senior Data Scientist,Participates in several projects,linkedin,https://www.linkedin.com/in/atifmfarid/,normal
NAi,2,Malik Mudassir,Participates in several projects,No description,linkedin,https://www.linkedin.com/in/malikmudassir/,normal
NAi,3,Shahroze Kashif,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/sharoze-kashif-10b1a5111/,normal
NAi,4,Muhammad Ahsan Khan,Blockchain Evangelist,Participates in several projects,linkedin,https://www.linkedin.com/in/mak1992,normal
NAi,5,Lisa Calkins,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/lisacalkins/,advsisor
NAi,6,Jayper Sanchez,No participating data,No description,website,https://www.facebook.com/jayper.sanchez,advsisor
NAi,7,Ahmed Hamdhan,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/ahmed-hamdhan-9a3a031/,advsisor
NAi,8,Shahmeer Amir,Participates in several projects,No description,linkedin,https://www.linkedin.com/in/m-shahmeer-amir-743a5bb7/,advsisor
NAi,9,Alex Bertlin,Advisor,Participates in several projects,linkedin,https://www.linkedin.com/in/alexbertlin/,advsisor
The Sun Exchange,1,Abraham Cambridge,CEO/Founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/abe-cambridge-6481081a/,normal
The Sun Exchange,2,Larry Temlock,CFO/Co-Founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/larrytemlock/,normal
The Sun Exchange,3,Lisa Lyhne,COO,Takes part in this project only,linkedin,https://www.linkedin.com/in/lisa-lyhne-7ba2082/,normal
The Sun Exchange,4,Morwesi Ramonyai,CCO,Takes part in this project only,linkedin,https://www.linkedin.com/in/morwesi-ramonyai-b5354ab5/,normal
The Sun Exchange,5,Anthony Stonefield,HEAD OF VENTURE DEVELOPMENT,Takes part in this project only,linkedin,https://www.linkedin.com/in/astonefield/,normal
The Sun Exchange,6,Lourens Coetzer,VP OF ENGINEERING,Takes part in this project only,linkedin,https://www.linkedin.com/in/lourenscoetzer/,normal
GigTricks,1,Amir Shaikh,FOUNDER & CHIEF EXECUTIVE OFFICER,Takes part in this project only,linkedin,https://www.linkedin.com/in/amir-shaikh/,normal
Treon,1,Hesham El Metainy,"Treon Founder, Strategy",Takes part in this project only,linkedin,https://www.linkedin.com/in/hesham-el-metainy-4503212/,normal
Treon,2,Khaled Khorshid,"Treon Founder, Technology",Takes part in this project only,linkedin,https://www.linkedin.com/in/khaledkhorshid/,normal
Treon,3,Mohamed T. Kesseba,Head of Marketing,Takes part in this project only,linkedin,https://www.linkedin.com/in/mohamedtaherkesseba/,normal
GigTricks,2,Omair Latif,CO-FOUNDER & CHIEF OPERATING OFFICER,Takes part in this project only,linkedin,https://www.linkedin.com/in/omair-latif-0019433/,normal
GigTricks,3,Sadiq Hameed,CO-FOUNDER & CHIEF BLOCKCHAIN OFFICER,Takes part in this project only,linkedin,https://www.linkedin.com/in/sadiqhameed/,normal
GigTricks,4,Waseem Akbar,REGIONAL DIRECTOR WESTERN MARKETS,Takes part in this project only,linkedin,https://www.linkedin.com/in/waseemakbar/,normal
GigTricks,5,Abdul Jabbar,REGIONAL DIRECTOR EASTERN MARKETS,Takes part in this project only,linkedin,https://www.linkedin.com/in/abdul-jabbar-patel-3473b047/,normal
GigTricks,6,Omer Javed,PROJECT DIRECTOR,Takes part in this project only,linkedin,https://www.linkedin.com/in/omer-javed-a297391a,normal
Treon,4,Binal Patel,Head of Technology,Participates in several projects,linkedin,https://www.linkedin.com/in/binalvpatel/,normal
Treon,5,Hoda El Kara,Head of Corporate Communications,Takes part in this project only,linkedin,https://www.linkedin.com/in/hoda-el-kara-19170118/,normal
Treon,6,Miranda Rector,Head of Product,Takes part in this project only,linkedin,https://www.linkedin.com/in/mirandarector/,normal
Treon,7,Harshil Sanghavi,Blockchain Architect,Participates in several projects,linkedin,https://www.linkedin.com/in/harshil-sanghavi-a4352151/,normal
GigTricks,7,Fahmi Maroof,CUSTOMER RELATIONSHIP MANAGER,Takes part in this project only,linkedin,https://www.linkedin.com/in/fahmi-maroof-6021a841/,normal
GigTricks,8,Ibrahim Ali,SENIOR DEVELOPER,Takes part in this project only,linkedin,https://www.linkedin.com/in/ibrahim-ali-6b80564b/,normal
GigTricks,9,Sana Siddiqui,CONTENT MANAGER,Takes part in this project only,linkedin,https://www.linkedin.com/in/sana-siddiqui-935b9690/,normal
GigTricks,10,Zubair Khan,UI/UX CREATIVE MANAGER,Takes part in this project only,linkedin,https://www.linkedin.com/in/muhammad-zubair-khan-81390657/,normal
GigTricks,11,Muhammad Haseeb,SEO MANAGER,Takes part in this project only,linkedin,https://www.linkedin.com/in/muhammad-haseeb-a81a7424/,normal
GigTricks,12,Mohsin Butt,SENIOR DEVELOPER,Takes part in this project only,linkedin,https://www.linkedin.com/in/muhammad-mohsin-butt-250b9a160/,normal
Treon,8,Saad Al-Barrak,"Principal Advisor, Telecom strategy & Corporate governance",Takes part in this project only,linkedin,https://www.linkedin.com/in/albarraksaad/,advsisor
Treon,9,Alain Sainte Marie,"Advisor, Telecom and Finance",Takes part in this project only,linkedin,https://www.linkedin.com/in/alain-sainte-marie-8b349323/,advsisor
Treon,10,Dee Murphy,"Advisor, Branding and Design",Takes part in this project only,linkedin,https://www.linkedin.com/in/dee-murphy-54963a4/,advsisor
Treon,11,Anthony Blenman,"Advisor, Procurement and Cross-Trade agreements",Takes part in this project only,linkedin,https://www.linkedin.com/in/anthony-blenman-mcips-mbcs-087a26/,advsisor
Treon,12,Jad Hindy,"Advisor, Digital Marketing and Communications",Takes part in this project only,linkedin,https://www.linkedin.com/in/jadhindy/,advsisor
Treon,13,Mathew Kimolo,"Advisor, Energy Utilities and Solar Power",Takes part in this project only,linkedin,https://www.linkedin.com/in/mkimolo/,advsisor
U Run It,1,Roman Grushkovsky,"Co-founder, CEO",Takes part in this project only,linkedin,https://www.linkedin.com/in/roman-grushkovsky-250706158,normal
U Run It,2,Max Vaschuk,"Co-founder, CMO",Takes part in this project only,linkedin,https://www.linkedin.com/in/maksim-vaschuk-b0547712a,normal
U Run It,3,Leonid Rubin,"Co-founder, COO",Takes part in this project only,linkedin,https://www.linkedin.com/in/leonid-rubin-15416842,normal
U Run It,4,Lyudmila  Vasilyeva,Lead Mathematician,Takes part in this project only,linkedin,https://www.linkedin.com/in/%D0%BB%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0-%D0%B2%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B0-087908149,normal
U Run It,5,Maria  Sokolovskaya,Copywriter,Takes part in this project only,linkedin,https://www.linkedin.com/in/maria-sokolovskaya-a0012ab,normal
U Run It,6,Liudmila  Ivashchenko,Photo and Video Producer,Takes part in this project only,linkedin,https://www.linkedin.com/in/liudmila-ivashchenko-7624a514a,normal
U Run It,7,Irina  Kolkova-Grushkovsky,Strategy Development Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/irina-kolkova-3797b4159,normal
U Run It,8,Shay  Dvir,Chief Technology Officer,Takes part in this project only,linkedin,https://www.linkedin.com/in/shay-dvir-86819b4,normal
U Run It,9,Nikita  Yeryomin,Development Team Leader,Takes part in this project only,linkedin,https://www.linkedin.com/in/nikyer,normal
U Run It,10,Anna  Thais,UI/UX Senior Designer,Takes part in this project only,linkedin,https://www.linkedin.com/in/anna-thais-grushkovskaya-a5673180,normal
U Run It,11,Amit  Bhagwat,Performance Test Analyst,Takes part in this project only,linkedin,https://www.linkedin.com/in/amitbhagwat,normal
U Run It,12,Yevgeniya  Bayura,Web Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/yevgeniya-bayura-251b99b6,normal
U Run It,13,Victoria Naizer,Casino Adviser,Takes part in this project only,linkedin,https://www.linkedin.com/in/victoria-naizer-87a43578,normal
U Run It,14,Tamara Dvir,Casino UI/UX Adviser,Takes part in this project only,linkedin,https://www.linkedin.com/in/tamaradvir,normal
U Run It,15,Pankaj Gupta,ICO Adviser,Participates in several projects,linkedin,https://www.linkedin.com/in/pankajmhealth/,normal
U Run It,16,Timo Trippler,Investment Adviser,Participates in a number of projects,linkedin,https://www.linkedin.com/in/timotrippler/,normal
U Run It,17,Jason Coles,Community Adviser,Participates in several projects,linkedin,https://www.linkedin.com/in/jason-coles-45043b76/,normal
U Run It,18,Dmitry Pshenin,ICO Adviser,Participates in a number of projects,linkedin,https://www.linkedin.com/in/dmitrypshenin/,normal
U Run It,19,Aleksey Batishev,Gambling Adviser,Participates in several projects,linkedin,https://www.linkedin.com/in/alekseybatishev/,normal
U Run It,20,Maksim Mishchenko,Marketing Adviser,Participates in several projects,linkedin,https://www.linkedin.com/in/maksim-mishchenko/,normal
U Run It,21,Arturas Svirskis,Investment Adviser,Participates in a number of projects,linkedin,https://www.linkedin.com/in/arturassvirskis/,normal
U Run It,22,Jeremy Khoo,Commercial Advisor,Participates in a number of projects,linkedin,https://www.linkedin.com/in/jeremy-khoo/,advsisor
Phoneum,1,Ivan Likov,Founder & Lead Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/ivan-likov-4b2a8329/,normal
Phoneum,2,Gaurav Dubey,Director of Strategy,Takes part in this project only,linkedin,https://www.linkedin.com/in/gauravdubeyith/,normal
Phoneum,3,Konstantin Iliev,SEO & Cyber Security,Takes part in this project only,linkedin,https://www.linkedin.com/in/konstantiniliev/,normal
Phoneum,4,Andrew Sazama,Marketing Communications,Takes part in this project only,linkedin,https://www.linkedin.com/in/andrewsazama,normal
Phoneum,5,Veronika Mihaylova,Website & App Designer,Takes part in this project only,linkedin,https://www.linkedin.com/in/veronika-mihaylova/,normal
Phoneum,6,Konstantin Kostov,Development Team Coordinator,Takes part in this project only,linkedin,https://www.linkedin.com/in/konstantin-kostov-46485249/,normal
Phoneum,7,Vitaliy Filipov,Web & Mobile Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/vitaliyfilipov/,normal
Phoneum,8,Ivo Kacharov,Android Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/ivokacharov/,normal
weBloc,1,Joon Hong,CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/powerguy0826/,normal
weBloc,2,NamHyun Kim,COO,Takes part in this project only,linkedin,https://www.linkedin.com/in/kimnamhyun/,normal
weBloc,3,James Baek,CTO,Takes part in this project only,linkedin,https://www.linkedin.com/in/gandalf100/,normal
weBloc,4,Wusic We,CSO,Takes part in this project only,linkedin,https://www.linkedin.com/in/wusic/,normal
weBloc,5,Hyun Oh,CAO,Participates in several projects,linkedin,https://www.linkedin.com/in/hslife/,normal
weBloc,6,Lena Kim,CBO,Takes part in this project only,linkedin,https://www.linkedin.com/in/lena-eunhea-kim,normal
weBloc,7,Jeff Jang,Managing Director,Takes part in this project only,linkedin,https://www.linkedin.com/in/jeffjang,normal
weBloc,8,Jeter Park,Assistant Director,Takes part in this project only,linkedin,https://www.linkedin.com/in/jeterpark/,normal
weBloc,9,Jace Yeom,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/jhyeom0624,normal
weBloc,10,InYoung You,Marketing & Strategic planning,Takes part in this project only,linkedin,https://www.linkedin.com/in/inyoung-you,normal
weBloc,11,Steve Cho,Marketing & Strategic planning,Takes part in this project only,linkedin,https://www.linkedin.com/in/chobama,normal
weBloc,12,Bisu Kim,Marketing & Strategic planning,Takes part in this project only,linkedin,https://www.linkedin.com/in/bisuk/,normal
weBloc,13,Edin Kang,Marketing & Strategic planning,Takes part in this project only,linkedin,https://www.linkedin.com/in/edin-kang,normal
weBloc,14,Lily Baek,Marketing & Strategic planning,Takes part in this project only,linkedin,https://www.linkedin.com/in/minjibaek,normal
weBloc,15,JD Baik,Marketing & Strategic planning,Takes part in this project only,linkedin,https://www.linkedin.com/in/jdbaik/,normal
weBloc,16,Jessica Jang,Marketing & Strategic planning,Takes part in this project only,linkedin,https://www.linkedin.com/in/chuzzang,normal
weBloc,17,Yangpa Kim,Marketing & Strategic planning,Takes part in this project only,linkedin,https://www.linkedin.com/in/yangpa,normal
weBloc,18,YunSup Song,Marketing & Strategic planning,Takes part in this project only,linkedin,https://www.linkedin.com/in/yunsup/,normal
weBloc,19,EunKyung Jeon,Marketing & Strategic planning,Takes part in this project only,linkedin,https://www.linkedin.com/in/jok6786,normal
weBloc,20,KaHye Kim,Marketing & Strategic planning,Takes part in this project only,linkedin,https://www.linkedin.com/in/ng02T3,normal
weBloc,21,Woong Kim,E.I.R,Takes part in this project only,linkedin,https://www.linkedin.com/in/kim-woong-1009/,normal
weBloc,22,Joon Chung,E.I.R,Takes part in this project only,linkedin,https://www.linkedin.com/in/yongjoon-chung,normal
weBloc,23,Jason Yang,Assistant Director,Takes part in this project only,linkedin,https://www.linkedin.com/in/jsyang00/,normal
Coinshare,1,Luigi Maisto,CEO & Co-Founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/luigi-maisto-49076448/,normal
Coinshare,2,Daniele Viganò,CIO & Co-Founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/daniele-vigan%C3%B2-24205410/,normal
Coinshare,3,Valentino Del Giudice,CTO,Takes part in this project only,linkedin,https://www.linkedin.com/in/valentino-del-giudice-a1114b17/,normal
Coinshare,4,Roberto Re,CLO & Co-Founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/roberto-re-7a21681/,normal
weBloc,24,John Suh,Development,Takes part in this project only,linkedin,https://www.linkedin.com/in/zerobell,normal
weBloc,25,JaeYeop Jung,Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/jungjaeyeop,normal
weBloc,26,SungWoo Park,Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/skiw9841,normal
weBloc,27,Geony Lee,Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/leegeony,normal
weBloc,28,Teddy Hong,Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/rusdlsla/,normal
weBloc,29,Zoe Kim,Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/caution,normal
Coinshare,5,Piero Rocca,CFO,No participating data,website,http://coinshare.network/,normal
Coinshare,6,Valeria Savanelli,CCO (Chief Communication Officer),Takes part in this project only,linkedin,https://www.linkedin.com/in/valeria-savanelli-0a1a5b31/,normal
Coinshare,7,Giuseppe dello Iacono,Senior Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/pino-dello-iacono-b6323352/,normal
Coinshare,8,Patrizia Silvestri,Web Solution Architect,Takes part in this project only,linkedin,https://www.linkedin.com/in/patrizia-silvestri-84870834/,normal
Coinshare,9,Paul Renda,CEO & Owner of Miller & Partners s.r.l.,Takes part in this project only,linkedin,https://www.linkedin.com/in/paulrenda/,advsisor
Coinshare,10,Renato Salsa,No participating data,No description,website,http://coinshare.network/,advsisor
weBloc,30,Fritz Lee,Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/fritzlee,normal
weBloc,31,Kijoon Choi,Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/kjchoiaidb,normal
Coinshare,11,Jacopo Moschini,Entrepreneur and business manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/jacopo-moschini-7992076/,advsisor
Coinshare,12,Federico Pacilli,"BSc in ""Bank and Financial Markets”",Participates in several projects,linkedin,https://www.linkedin.com/in/federico-pacilli-09517490/,advsisor
Coinshare,13,Gianluca Massini Rosati,Serial Entrepreneur,Participates in several projects,linkedin,https://www.linkedin.com/in/gianluca-massini-rosati/,advsisor
Coinshare,14,Edoardo Narduzzi,Participates in several projects,No description,linkedin,https://www.linkedin.com/in/edoardo-narduzzi/,advsisor
Coinshare,15,Davide Baldi,Serial entrepreneur,Participates in several projects,linkedin,https://www.linkedin.com/in/davide-baldi-2b645023/,advsisor
Coinshare,16,Alberto Ferlin,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/alberto-ferlin-963a3332/,advsisor
Coinshare,17,Stefano Tresca,Fintech and digital transformation expert.,Participates in several projects,linkedin,https://www.linkedin.com/in/stefanotresca/,advsisor
XERA,1,Abhishek Singh,Co-founder and CEO,Participates in several projects,linkedin,https://www.linkedin.com/in/abhishek-singh-81021418/,normal
XERA,2,Arpit Sharma,Co-founder and Director of Technology,Participates in a number of projects,linkedin,https://www.linkedin.com/in/arpit-sharma-6a3b6931/,normal
XERA,3,Vlad Glushenko,Senior Blockchain Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/vlad-glushenko-8a2222161/,normal
XERA,4,Andrew Willis,Senior Deployment Manager,Participates in several projects,linkedin,https://www.linkedin.com/in/andrew-willis-321735163/,normal
XERA,5,Espen Olsen,Marketing Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/espen-olsen-2a96b625/,normal
XERA,6,Rath Prak,Lead UI/UX Designer,Takes part in this project only,linkedin,https://www.linkedin.com/in/rath-prak-97761a40/,normal
XERA,7,Mark Mathis,Senior Blockchain Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/cipherz/,normal
XERA,8,Roman Vinogradov,Blockchain Developer,Participates in a number of projects,website,https://www.xera.tech/,normal
XERA,9,Pavel Krot,Software Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/krot-pavel/,normal
XERA,10,Toshik Doomra,Legal & Compliance Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/toshikdoomra/,normal
XERA,11,Jagmeet Singh Hanspal,Consultant System Architect,Takes part in this project only,linkedin,https://www.linkedin.com/in/hanspal/,normal
XERA,12,Anant Sachdeva,Infrastructure Security Manager,Participates in several projects,linkedin,https://www.linkedin.com/in/anantsachdeva/,normal
XERA,13,Habtamu Beza,Infrastructure Specialist,Takes part in this project only,linkedin,https://www.linkedin.com/in/habtamu-beza-96347622/,normal
XERA,14,Benjamin Dela Cruz,Operations Manager,Participates in several projects,linkedin,https://www.linkedin.com/in/benjamindcjr/,normal
XERA,15,Lovedeep Singh,Quality Assurance Analyst,Takes part in this project only,linkedin,https://www.linkedin.com/in/lovedeep-singh-432ab260/,normal
XERA,16,Richard Shibi,Advisor,Participates in a number of projects,linkedin,https://www.linkedin.com/in/richardshibi/,normal
XERA,17,Khang Nguyen,Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/khangnguyenba/,normal
XERA,18,Shameer Thaha,Advisor,Participates in several projects,linkedin,https://www.linkedin.com/in/shameerthaha/,normal
XERA,19,Antoshi Popov,Advisor,Participates in several projects,linkedin,https://www.linkedin.com/in/antonpopov/,normal
XERA,20,Giovanni Casagrande,Advisor,Participates in a number of projects,linkedin,https://www.linkedin.com/in/giovanni-casagrande-crypto/,normal
XERA,21,Savio Gomez,Advisor,Participates in a number of projects,linkedin,https://www.linkedin.com/in/savio-gomez-capt/,normal
XERA,22,Mickael Damour,Advisor,Participates in a number of projects,linkedin,https://www.linkedin.com/in/mickael-damour/,normal
XERA,23,Vicente Ortiz,Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/vicenteortizme/,normal
XERA,24,Paul Li,Advisor,Participates in several projects,linkedin,https://www.linkedin.com/in/paul-li-84551aa9/,normal
XERA,25,Naviin Kapoor,Advisor,Participates in a number of projects,linkedin,https://www.linkedin.com/in/naviinkapoor/,normal
XERA,26,Faisal Shehzad khan,Advisor,Participates in several projects,linkedin,https://www.linkedin.com/in/faisalshehzadkhan/,normal
XERA,27,Mauro Andriotto,Advisor,Participates in a number of projects,linkedin,https://www.linkedin.com/in/mauro-andriotto-a2339a12b/,normal
XERA,28,Roman Karimov,Advisor,Participates in a number of projects,linkedin,https://www.linkedin.com/in/ego97516/,advsisor
Cryptonity,1,Jaewoo SEO,CO-FOUNDER & CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/jaewooseo/,normal
Cryptonity,2,Mourad REDJAH,CO-FOUNDER & CTO,Participates in several projects,linkedin,https://www.linkedin.com/in/mourad-r-12689b156/,normal
Cryptonity,3,Van Billy NGUYEN,CO-FOUNDER & COO,Takes part in this project only,linkedin,https://www.linkedin.com/in/van-billy-nguyen-6008a214b,normal
UniFox,1,Jan Turek,COO & Co-Founder,No description,linkedin,https://www.linkedin.com/in/jan-turek-88a6a4ab/,normal
Aclyd,1,Jessica Contreras,CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/jessica-contreras-58512b140/,normal
Aclyd,2,Shahid Chishty,CSO,Participates in several projects,linkedin,https://www.linkedin.com/in/shahid-chishty-714551/,normal
Aclyd,3,Kanisha Dennis,CMO,Takes part in this project only,linkedin,https://www.linkedin.com/in/kanishadennis/,normal
Aclyd,4,Chai Shepherd,CTA,Participates in several projects,linkedin,https://www.linkedin.com/in/chai-shepherd-1249b682/,normal
Aclyd,5,Jose Villalta,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/jose-villalta-227493164/,advsisor
Aclyd,6,Raffaele Della Rotonda,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/avvocato-della-rotonda-caserta,advsisor
Aclyd,7,Erika Rosenstein,Participates in several projects,No description,linkedin,https://www.linkedin.com/in/erika-rosenstein-1558b3a4/,advsisor
Aclyd,8,Barbara Bickham,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/barbarabickham/,advsisor
Aclyd,9,Sean Brizendine,Participates in a number of projects,No description,linkedin,https://www.linkedin.com/in/sean-brizendine-a71634b8/,advsisor
Aclyd,10,Prashant Pandey,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/prashant-pandey-20245b13/,advsisor
Aclyd,11,Jillian Sidoti,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/jilliansidoti/,advsisor
Aclyd,12,Claudia Alvarez,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/claudia-alvarez-332208157/,advsisor
Aclyd,13,John Mascarenas,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/jmascar/,advsisor
